response_id,timepoint,sad,pos,rum,condition
R_12hxxI9vvAe9SH4,postlistening,12,15,3.6666666666666665,self
R_Oe7RLCsbklPCXTP,baseline,10,18,2.5,control
R_Oe7RLCsbklPCXTP,postinduction,13,14,2.5,control
R_Oe7RLCsbklPCXTP,postlistening,11,13,2.5,control
R_dhwnTGTr2fbF7jj,baseline,10,17,3.25,self
R_dhwnTGTr2fbF7jj,postinduction,12,15,3.25,self
R_dhwnTGTr2fbF7jj,postlistening,15,12,3.25,self
R_AAqJjJ6Ei5A9Nfj,baseline,9,17,4,sad
R_AAqJjJ6Ei5A9Nfj,postinduction,19,10,4,sad
R_AAqJjJ6Ei5A9Nfj,postlistening,22,9,4,sad
R_1BR9Bq3w4NVEEMB,baseline,8,20,3.8333333333333335,control
R_1BR9Bq3w4NVEEMB,postinduction,18,13,3.8333333333333335,control
R_1BR9Bq3w4NVEEMB,postlistening,8,13,3.8333333333333335,control
R_3KAPAKPO17Z5Mm6,baseline,9,15,3.3333333333333335,sad
R_3KAPAKPO17Z5Mm6,postinduction,14,9,3.3333333333333335,sad
R_3KAPAKPO17Z5Mm6,postlistening,12,9,3.3333333333333335,sad
R_2Y39ynvp1err66N,baseline,8,16,3.8333333333333335,sad
R_2Y39ynvp1err66N,postinduction,21,11,3.8333333333333335,sad
R_2Y39ynvp1err66N,postlistening,12,10,3.8333333333333335,sad
R_bskKjeg5XB3Q8VP,baseline,8,10,3,self
R_bskKjeg5XB3Q8VP,postinduction,8,9,3,self
R_bskKjeg5XB3Q8VP,postlistening,8,25,3,self
R_31mH1OJv89oQoQQ,baseline,8,8,3,control
R_31mH1OJv89oQoQQ,postinduction,19,6,3,control
R_31mH1OJv89oQoQQ,postlistening,8,5,3,control
R_2VDYd5SkFmx6k1j,baseline,8,17,3,self
R_2VDYd5SkFmx6k1j,postinduction,12,15,3,self
R_2VDYd5SkFmx6k1j,postlistening,8,22,3,self
R_3MA0d3JhUn77ZY8,baseline,8,19,3.8333333333333335,sad
R_3MA0d3JhUn77ZY8,postinduction,15,15,3.8333333333333335,sad
R_3MA0d3JhUn77ZY8,postlistening,13,10,3.8333333333333335,sad
R_3eqqSHqGKWJGbtn,baseline,8,20,3.4166666666666665,self
R_3eqqSHqGKWJGbtn,postinduction,26,7,3.4166666666666665,self
R_3eqqSHqGKWJGbtn,postlistening,19,5,3.4166666666666665,self
R_2rw4mEOSlhvDAQX,baseline,8,12,3.5,control
R_2rw4mEOSlhvDAQX,postinduction,14,5,3.5,control
R_2rw4mEOSlhvDAQX,postlistening,9,11,3.5,control
R_3PCe5RQsGodvBU1,baseline,12,10,3.75,control
R_3PCe5RQsGodvBU1,postinduction,12,6,3.75,control
R_3PCe5RQsGodvBU1,postlistening,8,5,3.75,control
R_1fdWJRduNdKPcxB,baseline,8,6,3.5,sad
R_1fdWJRduNdKPcxB,postinduction,14,5,3.5,sad
R_1fdWJRduNdKPcxB,postlistening,12,5,3.5,sad
R_1P4Zl0bWUv9jHYN,baseline,12,11,4.083333333333333,self
R_1P4Zl0bWUv9jHYN,postinduction,17,5,4.083333333333333,self
R_1P4Zl0bWUv9jHYN,postlistening,12,6,4.083333333333333,self
R_21vUTIGQtovM8qL,baseline,18,15,4.25,control
R_21vUTIGQtovM8qL,postinduction,30,10,4.25,control
R_21vUTIGQtovM8qL,postlistening,30,10,4.25,control
R_31Wxe76c49042yd,baseline,11,20,4,self
R_31Wxe76c49042yd,postinduction,14,16,4,self
R_31Wxe76c49042yd,postlistening,10,19,4,self
R_PCAxQ9hClRefuV3,baseline,10,12,3.5833333333333335,sad
R_PCAxQ9hClRefuV3,postinduction,12,12,3.5833333333333335,sad
R_PCAxQ9hClRefuV3,postlistening,10,12,3.5833333333333335,sad
R_3McejswcWlw5uAW,baseline,9,11,3.9166666666666665,sad
R_3McejswcWlw5uAW,postinduction,17,6,3.9166666666666665,sad
R_3McejswcWlw5uAW,postlistening,18,5,3.9166666666666665,sad
R_2e5d5k2cYNukRRu,baseline,8,13,3.5,control
R_2e5d5k2cYNukRRu,postinduction,17,9,3.5,control
R_2e5d5k2cYNukRRu,postlistening,10,9,3.5,control
R_24kCySlcc7zBeTC,baseline,10,15,3,self
R_24kCySlcc7zBeTC,postinduction,10,15,3,self
R_24kCySlcc7zBeTC,postlistening,10,16,3,self
R_4HJVCeOzmvVyCxr,baseline,9,19,4.083333333333333,control
R_4HJVCeOzmvVyCxr,postinduction,33,14,4.083333333333333,control
R_4HJVCeOzmvVyCxr,postlistening,19,10,4.083333333333333,control
R_10YJCLRzR7m6Hhi,baseline,18,5,4.25,self
R_10YJCLRzR7m6Hhi,postinduction,13,5,4.25,self
R_10YJCLRzR7m6Hhi,postlistening,10,5,4.25,self
R_2SjkMTGSG0DrRk7,baseline,8,18,2.4166666666666665,sad
R_2SjkMTGSG0DrRk7,postinduction,13,5,2.4166666666666665,sad
R_2SjkMTGSG0DrRk7,postlistening,11,5,2.4166666666666665,sad
R_2cwj2HNP4B1Hbzh,baseline,8,16,NaN,sad
R_2cwj2HNP4B1Hbzh,postinduction,23,9,NaN,sad
R_2cwj2HNP4B1Hbzh,postlistening,13,7,NaN,sad
R_voFCoEOGlQFYLK1,baseline,8,15,4,control
R_voFCoEOGlQFYLK1,postinduction,20,6,4,control
R_voFCoEOGlQFYLK1,postlistening,10,5,4,control
R_2tDuQbw7A7f6UoC,baseline,9,10,3.25,control
R_2tDuQbw7A7f6UoC,postinduction,11,7,3.25,control
R_2tDuQbw7A7f6UoC,postlistening,9,8,3.25,control
R_1ITtx7AV2fPaSX4,baseline,8,15,3.4166666666666665,self
R_1ITtx7AV2fPaSX4,postinduction,31,12,3.4166666666666665,self
R_1ITtx7AV2fPaSX4,postlistening,16,15,3.4166666666666665,self
R_2ZCZw9ep1OeoQH2,baseline,8,15,3.8333333333333335,sad
R_2ZCZw9ep1OeoQH2,postinduction,14,10,3.8333333333333335,sad
R_2ZCZw9ep1OeoQH2,postlistening,19,5,3.8333333333333335,sad
R_BW03zEyuB9gC3dL,baseline,9,5,4.083333333333333,self
R_BW03zEyuB9gC3dL,postinduction,33,5,4.083333333333333,self
R_BW03zEyuB9gC3dL,postlistening,29,5,4.083333333333333,self
R_1HdFvaljOB8G3EA,baseline,11,5,2.75,sad
R_1HdFvaljOB8G3EA,postinduction,11,5,2.75,sad
R_1HdFvaljOB8G3EA,postlistening,12,5,2.75,sad
R_1eWworSpH4b6rZ7,baseline,20,15,4,control
R_1eWworSpH4b6rZ7,postinduction,23,11,4,control
R_1eWworSpH4b6rZ7,postlistening,19,13,4,control
R_81ReChptDqtYU6d,baseline,10,17,3.75,self
R_81ReChptDqtYU6d,postinduction,16,5,3.75,self
R_81ReChptDqtYU6d,postlistening,8,7,3.75,self
R_2wQQsT3tP0d7uen,baseline,12,19,2.1666666666666665,control
R_2wQQsT3tP0d7uen,postinduction,13,16,2.1666666666666665,control
R_2wQQsT3tP0d7uen,postlistening,12,17,2.1666666666666665,control
R_201jSIGoZ4A175H,baseline,11,15,3.3333333333333335,sad
R_201jSIGoZ4A175H,postinduction,21,8,3.3333333333333335,sad
R_201jSIGoZ4A175H,postlistening,14,9,3.3333333333333335,sad
R_3et9hJ7ozUf8hZ7,baseline,9,18,3.9166666666666665,sad
R_3et9hJ7ozUf8hZ7,postinduction,10,18,3.9166666666666665,sad
R_3et9hJ7ozUf8hZ7,postlistening,10,17,3.9166666666666665,sad
R_2yqnTNRfi1ez3EJ,baseline,9,16,4.083333333333333,control
R_2yqnTNRfi1ez3EJ,postinduction,26,5,4.083333333333333,control
R_2yqnTNRfi1ez3EJ,postlistening,11,5,4.083333333333333,control
R_2V8ce2qdIeNrsDa,baseline,11,13,3.9166666666666665,sad
R_2V8ce2qdIeNrsDa,postinduction,31,10,3.9166666666666665,sad
R_2V8ce2qdIeNrsDa,postlistening,16,10,3.9166666666666665,sad
R_2Vx2fnREm1G1nBe,baseline,11,17,4,self
R_2Vx2fnREm1G1nBe,postinduction,16,14,4,self
R_2Vx2fnREm1G1nBe,postlistening,8,22,4,self
R_sTFyHEo5wzLfGp3,baseline,17,6,4.5,sad
R_sTFyHEo5wzLfGp3,postinduction,23,5,4.5,sad
R_sTFyHEo5wzLfGp3,postlistening,17,5,4.5,sad
R_1hJRcuJ1pE5jUTO,baseline,21,16,3.25,self
R_1hJRcuJ1pE5jUTO,postinduction,32,10,3.25,self
R_1hJRcuJ1pE5jUTO,postlistening,8,20,3.25,self
R_2TotMoYPhMNT92j,baseline,9,11,3,control
R_2TotMoYPhMNT92j,postinduction,9,7,3,control
R_2TotMoYPhMNT92j,postlistening,10,5,3,control
R_1F56k5KkSYaL28m,baseline,18,12,2.5833333333333335,control
R_1F56k5KkSYaL28m,postinduction,22,7,2.5833333333333335,control
R_1F56k5KkSYaL28m,postlistening,21,16,2.5833333333333335,control
R_1nUUn7OGYuAAw4F,baseline,9,17,4.5,control
R_1nUUn7OGYuAAw4F,postinduction,11,7,4.5,control
R_1nUUn7OGYuAAw4F,postlistening,12,11,4.5,control
R_Z9SD9f7ZdaEjoat,baseline,10,12,3.5,control
R_Z9SD9f7ZdaEjoat,postinduction,13,5,3.5,control
R_Z9SD9f7ZdaEjoat,postlistening,9,5,3.5,control
R_2P5LBYk0XeXrFjJ,baseline,8,16,3.4166666666666665,sad
R_2P5LBYk0XeXrFjJ,postinduction,25,10,3.4166666666666665,sad
R_2P5LBYk0XeXrFjJ,postlistening,13,8,3.4166666666666665,sad
R_24isnmpuAuAVmnc,baseline,11,10,2.5833333333333335,sad
R_24isnmpuAuAVmnc,postinduction,19,7,2.5833333333333335,sad
R_24isnmpuAuAVmnc,postlistening,9,6,2.5833333333333335,sad
R_27DaU5uyTjpf7kx,baseline,9,12,4.333333333333333,sad
R_27DaU5uyTjpf7kx,postinduction,13,11,4.333333333333333,sad
R_27DaU5uyTjpf7kx,postlistening,12,8,4.333333333333333,sad
R_yW2sUgYrEUnulsR,baseline,11,10,4,self
R_yW2sUgYrEUnulsR,postinduction,20,6,4,self
R_yW2sUgYrEUnulsR,postlistening,10,10,4,self
