ID,song_artist,valence,energy,artist_rtn,song_rtn
156,Do You Feel It?_Chaos Chaos,0.383,0.66,Chaos Chaos,Do You Feel It?
157,Dancing in the Sky_Dani and Lizzy,0.126,0.31,Dani and Lizzy,Dancing in the Sky
158,How To Disappear Completely_Radiohead,0.205,0.302,Radiohead,How To Disappear Completely
160,You Raise Me Up_Westlife,0.172,0.358,Westlife,You Raise Me Up
161,Nobody's Home_Avril Lavigne,0.177,0.907,Avril Lavigne,Nobody's Home
162,Everybody Hurts_R.E.M.,0.166,0.324,R.E.M.,Everybody Hurts
163,Another Love_Tom Odell,0.131,0.537,Tom Odell,Another Love
164,Low Roar_Low Roar,0.0381,0.15,Low Roar,Low Roar
165,The Worst_Jhené Aiko,0.123,0.414,Jhené Aiko,The Worst
166,Iris_The Goo Goo Dolls,0.497,0.715,The Goo Goo Dolls,Iris
167,All By Myself_Eric Carmen,0.111,0.373,Eric Carmen,All By Myself
168,Photographs (with Rag'n'Bone Man)_Professor Green,0.478,0.76,Professor Green,Photographs (with Rag'n'Bone Man)
169,All Too Well_Taylor Swift,0.337,0.609,Taylor Swift,All Too Well
170,Albinoni: Adagio in G Minor (Excerpt)_Tomaso Albinoni,0.0376,0.0971,Tomaso Albinoni,Albinoni: Adagio in G Minor (Excerpt)
171,Give Me Love_Ed Sheeran,0.11,0.328,Ed Sheeran,Give Me Love
172,The Book Of Love - Single Version_Gavin James,0.224,0.308,Gavin James,The Book Of Love - Single Version
173,Sail Away_David Gray,0.188,0.568,David Gray,Sail Away
174,Apologize_OneRepublic,0.502,0.74,OneRepublic,Apologize
175,What A Wonderful World_Eva Cassidy,0.0941,0.128,Eva Cassidy,What A Wonderful World
176,Dance With My Father - Radio Version_Luther Vandross,0.231,0.341,Luther Vandross,Dance With My Father - Radio Version
177,Everyday Is Like Sunday - 2011 Remaster_Morrissey,0.56,0.869,Morrissey,Everyday Is Like Sunday - 2011 Remaster
178,When I'm Gone_Eminem,0.757,0.746,Eminem,When I'm Gone
179,Run_Snow Patrol,0.197,0.64,Snow Patrol,Run
180,Lost Without You_Freya Ridings,0.0976,0.136,Freya Ridings,Lost Without You
181,Chasing Pavements_Adele,0.325,0.473,Adele,Chasing Pavements
182,"Any Other Name (From ""American Beauty"")_Thomas Newman",0.0378,0.0137,Thomas Newman,"Any Other Name (From ""American Beauty"")"
183,She Will Be Loved - Radio Mix_Maroon 5,0.465,0.663,Maroon 5,She Will Be Loved - Radio Mix
184,Fast Car_Tracy Chapman,0.194,0.292,Tracy Chapman,Fast Car
185,Supermarket Flowers_Ed Sheeran,0.257,0.242,Ed Sheeran,Supermarket Flowers
186,Should I Stay or Should I Go - Remastered_The Clash,0.816,0.833,The Clash,Should I Stay or Should I Go - Remastered
187,Can't Help Falling in Love_Elvis Presley,0.343,0.293,Elvis Presley,Can't Help Falling in Love
188,Breathe Me_Sia,0.19,0.621,Sia,Breathe Me
189,Gypsy_Fleetwood Mac,0.847,0.54,Fleetwood Mac,Gypsy
190,Disorder_Goldfinger,0.686,0.965,Goldfinger,Disorder
191,Headlights_Eminem,0.453,0.782,Eminem,Headlights
192,Angels_Robbie Williams,0.252,0.586,Robbie Williams,Angels
194,Sun in an Empty Room_The Weakerthans,0.521,0.613,The Weakerthans,Sun in an Empty Room
195,Try Sleeping with a Broken Heart_Alicia Keys,0.549,0.82,Alicia Keys,Try Sleeping with a Broken Heart
