song_artist,word_count,sad_count,pos_count,neg_count,sad_total_ratio,neg_pos_ratio,sad_pos_ratio,bias,ID,valence,energy,artist_rtn,song_rtn
Zombie_The Cranberries,80,3,1,5,0,54.5982,7.3891,Negative,144,0.305,0.635,The Cranberries,Zombie
Fallen Angel_Three Days Grace,77,19,17,16,0,0.3679,7.3891,Positive,146,0.218,0.911,Three Days Grace,Fallen Angel
Need You Now_Lady Antebellum,52,7,2,8,0,403.4288,148.4132,Negative,147,0.231,0.622,Lady Antebellum,Need You Now
"My Love, My Life_ABBA",68,3,21,5,0,0,0,Positive,148,0.226,0.426,ABBA,"My Love, My Life"
Until Forever_SS501,1,0,0,0,0.3679,1,1,Equal,149,0.267,0.702,SS501,Until Forever
Mad World (Feat. Michael Andrews)_Gary Jules,6,0,0,0,0.0025,1,1,Equal,150,0.304,0.0581,Gary Jules,Mad World (Feat. Michael Andrews)
Dancing With Tears In My Eyes_Kesha,92,29,6,38,0,78962960182680.7,9744803446.2489,Negative,151,0.674,0.917,Kesha,Dancing With Tears In My Eyes
Life on Mars? - 2015 Remaster_David Bowie,1,0,0,0,0.3679,1,1,Equal,152,0.216,0.384,David Bowie,Life on Mars? - 2015 Remaster
A Bad Dream_Keane,55,5,4,18,0,1202604.2842,2.7183,Negative,153,0.279,0.729,Keane,A Bad Dream
Me & You Together Song_The 1975,91,2,21,4,0,0,0,Positive,154,0.38,0.77,The 1975,Me & You Together Song
when the party's over_Billie Eilish,35,11,5,8,0,20.0855,403.4288,Negative,155,0.198,0.111,Billie Eilish,when the party's over
Do You Feel It?_Chaos Chaos,79,14,10,18,0,2980.958,54.5982,Negative,156,0.383,0.66,Chaos Chaos,Do You Feel It?
Dancing in the Sky_Dani and Lizzy,73,7,23,3,0,0,0,Positive,157,0.126,0.31,Dani and Lizzy,Dancing in the Sky
How To Disappear Completely_Radiohead,16,0,0,0,0,1,1,Equal,158,0.205,0.302,Radiohead,How To Disappear Completely
You Raise Me Up_Westlife,61,1,0,8,0,2980.958,2.7183,Negative,160,0.172,0.358,Westlife,You Raise Me Up
