response_id,condition,age,gender,ethnicity,nationality,sample,pomsdsf1_1,pomsdsf2_1,pomsdsf3_1,pomsdsf4_1,pomsdsf5_1,pomsdsf6_1,pomsdsf7_1,pomsdsf8_1,pomsvsf1_1,pomsvsf2_1,pomsvsf3_1,pomsvsf4_1,pomsvsf5_1,pomsdsf1_2,pomsdsf2_2,pomsdsf3_2,pomsdsf4_2,pomsdsf5_2,pomsdsf6_2,pomsdsf7_2,pomsdsf8_2,pomsvsf1_2,pomsvsf2_2,pomsvsf3_2,pomsvsf4_2,pomsvsf5_2,pomsdsf1_3,pomsdsf2_3,pomsdsf3_3,pomsdsf4_3,pomsdsf5_3,pomsdsf6_3,pomsdsf7_3,pomsdsf8_3,pomsvsf1_3,pomsvsf2_3,pomsvsf3_3,pomsvsf4_3,pomsvsf5_3,muisc_info4_1,lpq1_1,lpq2_1,lpq3_1,rrq1_1,rrq2_1,rrq3_1,rrq4_1,rrq5_1,rrq6_1,rrq7_1,rrq8_1,rrq9_1,rrq10_1,rrq11_1,rrq12_1,mars1_1,mars2_1,mars3_1,mars4_1,mars5_1,mars6_1,mars7_1,mars8_1,mars9_1,mars10_1,mars11_1,mars12_1,mars13_1,mars14_1,mars15_1,self_selected_song1,rrq6_orig,rrq9_orig,rrq10_orig,sad_baseline,sad_postinduction,sad_postlistening,pos_baseline,pos_postinduction,pos_postlistening,rum
R_3hfJt5XY4kTnwzh,control,18,2,1,Australian,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,NA,NA,NA,NA,2,2,2,2,2,3,2,3,2,3,2,2,5,5,4,2,3,5,4,4,4,2,4,3,4,1,1,NA,3,4,3,8,10,9,8,7,5,2.25
R_AHjBX2MuVwkAWoV,sad,19,2,1,Australian-British,1,3,3,3,4,4,4,2,1,2,2,1,1,1,3,2,1,1,2,2,1,1,2,2,1,1,1,2,2,1,1,1,2,1,1,2,2,1,1,1,4,1,3,1,3,4,5,5,5,5,5,5,5,5,4,4,6,5,2,1,4,7,5,5,5,2,5,4,1,5,3,NA,1,1,1,24,13,11,7,7,7,4.583333333333333
R_2aJE1Imau8QZwwq,control,18,1,1,Australian,2,2,2,2,1,2,1,1,1,2,3,3,2,2,3,2,2,1,1,2,2,1,1,2,2,1,1,4,1,1,2,1,1,2,2,1,1,1,1,1,NA,NA,NA,NA,4,2,3,4,4,4,4,4,4,3,4,4,4,5,3,3,4,5,5,4,5,1,4,4,3,2,5,NA,2,2,3,12,14,14,12,7,5,3.6666666666666665
R_30xe2wYEqfQ6M9W,self,19,2,1,Australian,2,1,1,1,1,1,1,1,1,3,3,4,4,3,2,2,2,1,2,2,2,1,1,1,1,1,1,2,2,3,1,1,1,1,1,1,1,1,1,1,5,4,3,4,4,5,4,5,4,4,4,4,4,2,4,4,7,7,3,5,3,6,5,5,6,2,5,5,3,4,5,Black Dress - Kisschasy,2,2,4,8,14,12,17,5,5,4
R_2V9p3iBrdicbnNF,sad,20,2,1,Australian,2,1,1,1,2,2,1,2,3,2,3,3,3,3,2,2,2,3,2,2,3,3,2,2,1,1,2,2,2,1,1,1,1,2,2,1,2,1,1,1,4,2,2,2,4,4,4,5,4,4,4,4,4,4,4,4,2,4,7,4,3,5,5,4,5,4,4,3,5,2,4,NA,2,2,2,13,19,12,14,8,6,4.083333333333333
R_3D2fsQPzLO9hJ17,control,20,1,1,Australian,2,2,2,2,1,1,1,1,1,3,3,3,2,4,3,3,3,2,2,3,2,1,2,2,2,2,2,3,3,2,1,1,2,2,2,2,2,1,2,2,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,3,4,3,4,5,2,3,2,5,5,2,5,2,5,5,4,4,5,NA,2,2,3,11,19,16,15,10,9,3.8333333333333335
R_3gSfn6DpcT6fLNp,self,20,2,5,Australian,1,1,1,1,1,1,1,1,1,3,3,3,3,3,2,2,2,1,1,1,2,1,1,2,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,3,4,2,3,4,4,4,4,4,4,4,4,4,3,4,3,6,6,2,1,1,5,7,6,2,1,4,6,1,4,5,Arsonists Lullaby- Hozier,2,2,3,8,12,11,15,6,6,3.8333333333333335
R_1hTlcozr09bXAna,self,20,1,2,Sri Lankan,1,2,1,3,1,2,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,2,4,1,3,2,3,3,2,2,2,2,4,2,3,2,2,4,4,1,4,4,4,4,4,4,2,4,4,2,2,4,Dani California - Red Hot Chili Peppers,4,4,3,13,12,9,5,5,8,2.4166666666666665
R_2DRNoBvz24dOjHv,control,19,2,1,Australian,1,1,1,1,3,3,1,2,3,3,3,2,1,1,3,2,2,3,3,1,2,2,3,3,3,2,2,2,3,2,2,2,1,2,3,2,2,1,1,1,NA,NA,NA,NA,4,5,5,5,4,4,4,5,4,4,4,2,7,4,4,2,4,5,6,6,7,4,3,6,3,5,6,NA,2,2,2,15,18,17,10,13,7,4.166666666666667
R_300pHStCbIFBDkD,sad,18,1,1,Australian,1,2,2,2,2,2,2,2,2,4,3,3,3,3,2,2,3,3,3,3,2,3,2,2,2,2,1,3,3,2,3,2,2,3,3,2,2,1,1,1,4,3,2,2,3,4,4,3,4,4,4,4,4,3,3,3,6,6,2,2,2,7,6,6,4,3,5,4,2,2,4,NA,2,2,3,16,21,21,16,9,7,3.5833333333333335
R_2dhz8B08nRAU00v,sad,18,2,1,Australian,1,1,1,1,1,1,1,1,1,3,3,2,2,2,1,2,2,1,1,1,1,1,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,4,2,3,3,4,4,3,3,4,3,4,4,3,3,3,4,6,5,3,1,2,5,5,5,5,2,4,5,2,1,2,NA,3,3,3,8,10,10,12,8,6,3.5
R_2OP8RZdoY6j8jnJ,control,25,1,1,Australian,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,3,5,3,5,4,4,4,5,2,4,4,2,2,6,3,2,2,4,4,2,5,2,2,4,3,2,4,NA,2,4,2,8,11,9,5,5,5,3.75
R_12hxxI9vvAe9SH4,self,21,2,2,Malaysian,1,3,3,4,3,3,1,3,3,3,3,3,3,2,4,4,4,4,4,3,4,3,2,2,2,2,1,3,2,2,1,1,1,1,1,3,3,3,3,3,3,4,2,4,2,4,4,4,4,4,4,4,4,4,2,4,4,6,3,2,1,4,7,7,4,1,3,6,4,2,4,7 years - Lukas Graham,2,2,2,23,30,12,14,9,15,3.6666666666666665
R_Oe7RLCsbklPCXTP,control,21,1,5,Ecuadorian,1,1,1,2,2,1,1,1,1,4,3,4,3,4,3,2,2,1,2,1,1,1,3,3,3,3,2,2,2,1,1,2,1,1,1,3,2,3,2,3,NA,NA,NA,NA,1,2,3,3,2,4,3,4,2,2,3,1,6,5,1,2,1,7,6,5,6,2,4,7,2,2,7,NA,2,4,4,10,13,11,18,14,13,2.5
R_dhwnTGTr2fbF7jj,self,19,2,1,French,1,1,2,2,1,1,1,1,1,4,3,3,4,3,3,2,2,1,1,1,1,1,3,3,3,3,3,3,3,3,1,2,1,1,1,3,3,2,2,2,4,4,3,4,2,4,3,4,3,4,4,3,2,4,4,2,5,5,2,1,3,6,6,5,6,2,5,5,4,3,5,En Cavale - Pomme,2,4,2,10,12,15,17,15,12,3.25
R_AAqJjJ6Ei5A9Nfj,sad,18,1,1,Australia,1,1,1,1,1,1,1,2,1,4,4,4,3,2,2,3,3,2,3,2,3,1,2,3,2,2,1,3,3,4,3,3,2,3,1,3,2,2,1,1,4,4,3,4,4,4,4,4,4,4,5,4,4,3,4,4,6,5,2,3,4,5,5,5,6,4,5,5,3,6,5,NA,2,2,3,9,19,22,17,10,9,4
R_1BR9Bq3w4NVEEMB,control,19,2,1,Australian,1,1,1,1,1,1,1,1,1,4,4,4,4,4,3,4,3,2,2,1,2,1,3,3,3,2,2,1,1,1,1,1,1,1,1,3,3,3,2,2,NA,NA,NA,NA,4,4,4,4,4,3,5,4,4,4,3,3,5,6,3,4,4,4,6,4,4,2,5,5,1,4,5,NA,3,2,2,8,18,8,20,13,13,3.8333333333333335
R_3KAPAKPO17Z5Mm6,sad,18,1,1,Australian,1,1,1,1,1,2,1,1,1,3,4,3,3,2,2,3,2,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,1,2,1,2,2,2,2,1,4,2,3,2,2,4,4,4,2,3,4,4,4,4,3,2,5,5,3,2,3,4,6,3,4,2,3,4,3,1,4,NA,3,2,2,9,14,12,15,9,9,3.3333333333333335
R_2Y39ynvp1err66N,sad,19,2,2,Hong Kong,1,1,1,1,1,1,1,1,1,3,3,4,3,3,3,4,3,2,2,3,2,2,3,2,2,2,2,2,3,2,1,1,1,1,1,2,2,2,2,2,4,4,4,4,2,3,5,4,3,4,5,5,3,5,3,4,5,7,1,3,6,7,7,4,4,4,5,4,4,6,6,NA,2,3,1,8,21,12,16,11,10,3.8333333333333335
R_bskKjeg5XB3Q8VP,self,18,2,2,vietnamese,1,1,1,1,1,1,1,1,1,2,3,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,5,5,5,5,5,1,1,3,1,1,1,1,5,5,5,3,3,3,1,3,5,7,7,1,6,7,7,7,7,7,1,7,7,1,7,7,I love you-Little Mix,1,3,5,8,8,8,10,9,25,3
R_31mH1OJv89oQoQQ,control,18,2,2,Australian,1,1,1,1,1,1,1,1,1,2,2,2,1,1,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,2,3,2,4,3,3,4,4,3,4,2,2,6,6,4,5,3,6,5,4,6,2,6,4,5,2,6,NA,3,3,2,8,19,8,8,6,5,3
R_2VDYd5SkFmx6k1j,self,19,1,1,Australian,1,1,1,1,1,1,1,1,1,4,4,3,3,3,2,2,2,1,1,1,2,1,3,3,3,3,3,1,1,1,1,1,1,1,1,5,4,4,5,4,2,4,2,3,3,2,2,2,3,3,4,4,4,3,3,3,4,5,3,4,3,4,5,4,5,3,2,5,3,2,4,The Buzz - Hermitude,3,2,3,8,12,8,17,15,22,3
R_3MA0d3JhUn77ZY8,sad,21,2,2,Chinese,1,1,1,1,1,1,1,1,1,4,4,5,4,2,2,4,1,2,2,1,2,1,3,4,3,3,2,2,3,3,1,1,1,1,1,2,2,2,2,2,4,4,3,5,4,4,4,4,3,4,4,4,4,4,4,3,4,7,2,6,1,7,7,7,7,1,5,7,2,4,7,NA,2,2,2,8,15,13,19,15,10,3.8333333333333335
R_3eqqSHqGKWJGbtn,self,18,1,1,australian,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,2,4,3,3,2,1,2,2,1,1,3,3,3,2,3,3,1,1,1,1,1,1,1,3,4,2,4,1,4,2,5,4,3,4,4,4,2,4,4,6,6,2,1,2,5,6,6,3,1,4,4,2,1,4,ADHD- Kendrick lamar,3,2,4,8,26,19,20,7,5,3.4166666666666665
