"","id","Age","Gender","Ethnicity","Nationality","Sample","POMSDSF1_1","POMSDSF2_1","POMSDSF3_1","POMSDSF4_1","POMSDSF5_1","POMSDSF6_1","POMSDSF7_1","POMSDSF8_1","POMSDSF1_2","POMSDSF2_2","POMSDSF3_2","POMSDSF4_2","POMSDSF5_2","POMSDSF6_2","POMSDSF7_2","POMSDSF8_2","Condition","SelfSelected_Song1","SelfSelected_Song2","POMSDSF1_3","POMSDSF2_3","POMSDSF3_3","POMSDSF4_3","POMSDSF5_3","POMSDSF6_3","POMSDSF7_3","POMSDSF8_3","RRQ1_1","RRQ2_1","RRQ3_1","RRQ4_1","RRQ5_1","RRQ6_1","RRQ7_1","RRQ8_1","RRQ9_1","RRQ10_1","RRQ11_1","RRQ12_1","MusicInfo4_1","Baseline","Post_induction","Post_listening","RRQ6r","RRQ9r","RRQ10r","rumination","rumination.split","playlist_name","playlist_uri","playlist_tracks_url","playlist_num_tracks","snapshot_id","playlist_img","track_name","track_uri","artist_name","album_name","album_img","track_popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","key_mode"
"61",61,18,"Male",1,"Australia","First year student",0,0,0,0,0,0,1,0,1,2,2,1,2,1,2,0,"ESM",NA,NA,2,2,3,2,2,1,2,0,4,4,4,4,4,2,5,4,2,3,4,4,4,1,11,14,4,4,3,4,"High Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",62,24,"Female",1,"Australian","Community sample",0,0,0,0,0,0,0,0,2,2,2,1,1,1,2,1,"ESM",NA,NA,0,0,0,0,0,0,0,0,1,4,4,4,4,1,4,5,4,3,4,1,4,0,12,0,5,2,3,3.41666666666667,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",63,21,"Male",2,"Australian","First year student",1,0,0,0,0,0,0,0,1,2,1,0,0,0,1,0,"ESM",NA,NA,1,1,1,0,1,0,0,0,3,5,4,5,5,1,5,5,2,2,3,4,4,1,5,4,5,4,4,4.33333333333333,"High Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",64,23,"Female",1,"Norwegian","First year student",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,"ESM",NA,NA,0,1,1,0,0,0,0,0,4,4,4,4,4,2,4,4,2,3,4,4,4,1,2,2,4,4,3,3.91666666666667,"High Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",65,23,"Female",1,"French","First year student",0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,"ESM",NA,NA,0,1,2,0,0,0,0,0,2,2,4,3,1,4,3,4,4,4,2,2,4,0,5,3,2,2,2,2.41666666666667,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",66,21,"Female",1,"Australian","Community sample",4,2,3,2,4,1,4,3,4,4,3,4,2,2,3,3,"ESM",NA,NA,4,2,2,2,3,2,3,2,5,5,5,5,5,1,5,5,1,1,5,5,4,23,25,20,5,5,5,5,"High Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",67,20,"Female",1,"Australian","First year student",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,"ESM",NA,NA,1,1,1,1,0,0,0,0,4,4,4,4,4,2,4,4,2,2,4,4,3,0,3,4,4,4,4,4,"High Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",68,25,"Female",1,"Australia","First year student",1,0,0,0,1,0,0,0,4,4,0,0,0,1,0,0,"ESM",NA,NA,1,1,0,0,0,0,0,0,4,3,5,5,4,4,3,4,2,2,4,3,3,2,9,2,2,4,4,3.75,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",69,18,"Female",2,"thai","First year student",0,0,1,0,0,0,0,0,2,2,1,1,2,1,3,0,"ESM",NA,NA,0,1,1,0,1,0,0,0,4,4,5,5,4,2,4,5,2,2,4,4,4,1,12,3,4,4,4,4.25,"High Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",70,22,"Female",1,"australian","First year student",1,0,0,1,1,0,0,0,2,3,2,1,1,1,1,0,"ESM",NA,NA,0,0,1,0,0,0,0,0,3,2,4,2,2,4,3,4,4,3,2,2,3,3,11,1,2,2,3,2.58333333333333,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",71,21,"Female",1,"Australian","Community sample",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ESM",NA,NA,0,0,1,0,0,0,0,0,4,5,5,5,5,1,5,5,5,1,5,5,NA,0,0,1,5,1,5,4.58333333333333,"High Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",72,18,"Male",1,"Australian","First year student",1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,"ESM",NA,NA,2,2,1,2,1,1,2,2,3,4,4,3,4,2,4,4,2,3,3,3,4,8,13,13,4,4,3,3.58333333333333,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",73,21,"Female",1,"Ecuadorian","First year student",2,1,1,1,0,0,1,1,3,3,2,1,1,0,1,1,"ESM",NA,NA,2,2,2,1,0,0,1,1,2,4,4,4,4,2,4,4,3,2,3,4,4,7,12,9,4,3,4,3.66666666666667,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",74,18,"Female",2,"South Korean","First year student",0,0,1,0,0,0,0,0,1,3,2,1,0,0,1,1,"ESM",NA,NA,1,1,2,1,2,0,2,1,3,4,4,4,5,1,4,5,1,4,4,2,4,1,9,10,5,5,2,3.91666666666667,"High Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",75,18,"Female",2,"Chinese","First year student",0,0,0,0,0,0,0,0,1,2,1,1,0,1,0,0,"ESM",NA,NA,1,1,2,0,0,0,0,0,4,4,4,4,3,2,4,5,4,2,2,2,4,0,6,4,4,2,4,3.5,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",76,21,"Female",2,"Chinese","First year student",0,0,0,0,0,0,0,0,1,3,0,1,1,0,1,0,"ESM",NA,NA,1,2,2,0,0,0,0,0,4,4,4,4,3,2,4,4,2,2,4,3,4,0,7,5,4,4,4,3.83333333333333,"High Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",77,19,"Female",1,"Australian-British","First year student",2,2,2,3,3,3,1,0,2,1,0,0,1,1,0,0,"ESM",NA,NA,1,1,0,0,0,1,0,0,3,4,5,5,5,1,5,5,1,1,4,4,4,16,5,3,5,5,5,4.58333333333333,"High Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",78,21,"Male",1,"Australian","First year student",1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,"ESM",NA,NA,2,0,1,0,1,0,0,0,2,2,2,3,3,3,3,4,3,2,2,2,5,3,3,4,3,3,4,2.75,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",79,18,"Female",1,"Australian","First year student",1,0,2,2,2,0,1,1,2,2,2,2,2,1,3,1,"ESM",NA,NA,1,1,2,1,1,1,1,1,4,5,4,5,5,2,5,4,2,1,4,5,3,9,15,9,4,4,5,4.5,"High Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",80,19,"Female",2,"Bruneian","First year student",0,0,1,1,1,0,1,1,3,3,2,1,1,1,1,1,"ESM",NA,NA,1,0,1,1,0,0,1,1,4,3,3,4,4,2,4,4,2,2,3,4,4,5,13,5,4,4,4,3.75,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",81,19,"Female",1,"Australian","First year student",1,0,0,0,1,1,0,0,3,3,3,3,3,3,3,2,"ESM",NA,NA,1,1,1,1,1,1,1,1,4,4,4,4,4,2,5,4,4,2,4,4,4,3,23,8,4,2,4,3.91666666666667,"High Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",82,21,"Male",1,"Australian","Community sample",1,0,0,1,1,0,0,2,2,3,2,0,0,1,0,0,"ESM",NA,NA,1,2,1,0,0,1,0,0,5,5,4,5,4,3,4,5,2,3,2,3,4,5,8,5,3,4,3,3.91666666666667,"High Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",83,25,"Male",1,"Aus","Community sample",3,3,3,4,2,4,3,4,3,3,3,4,3,4,3,4,"ESM",NA,NA,4,4,3,4,3,4,4,4,4,4,4,4,3,3,4,3,3,2,3,4,3,26,27,30,3,3,4,3.58333333333333,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",84,18,"Male",1,"Australian","First year student",0,0,0,0,1,0,0,0,1,2,1,0,0,1,1,0,"ESM",NA,NA,1,1,1,0,0,0,1,0,2,4,4,4,2,3,4,4,2,2,3,2,4,1,6,4,3,4,4,3.33333333333333,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",85,21,"Male",1,"Australian","Community sample",1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,"ESM",NA,NA,0,0,2,1,1,1,1,0,3,2,2,2,3,3,2,4,2,4,3,2,NA,1,4,6,3,4,2,2.66666666666667,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",86,23,"Male",1,"Australian","Community sample",1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,"ESM",NA,NA,1,0,0,0,1,0,0,1,2,4,3,2,2,3,3,3,3,3,4,3,NA,4,4,3,3,3,3,2.91666666666667,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",87,18,"Male",1,"Australian","Community sample",0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,"SSM","Your Song - Elton John","Hotel California - Eagles",0,0,0,0,0,0,0,0,4,4,3,4,3,2,4,4,2,4,2,3,2,2,4,0,4,4,2,3.41666666666667,"Low Rumination","igkd1_first.song","5UTua0uyjaYb4nmXu97ArV","https://api.spotify.com/v1/users/1230989829/playlists/5UTua0uyjaYb4nmXu97ArV/tracks",38,"NDcsODYxMWU1NGUwYTljODc2YjYyNzllZmFjMTVlZWM3NDg2ODBiM2Y5Yg==","https://mosaic.scdn.co/640/1a9dab25976c706fffccb6bf2cf8a6f5eadd0d2959c620dda5c01ba1107d82f8a6875faa90e950da9745b65ee2b46e710332f22102ba5fc6756a16d69e1484c528939f05c09f062fd482d7d07a7bf263","Your Song","7gCeodIXjhCLDWC5H1LOmT","Elton John","Elton John","https://i.scdn.co/image/59c620dda5c01ba1107d82f8a6875faa90e950da",63,0.551,0.27,"D#",-12.808,"major",0.0326,0.851,7.04e-06,0.0966,0.289,128.221,244227,4,"D# major"
"88",88,20,"Female",2,"Chinese","First year student",1,1,1,2,2,1,1,1,3,3,3,3,3,2,2,3,"SSM","/","/",3,3,3,3,2,2,3,3,4,4,4,4,5,4,3,3,4,4,3,4,4,10,22,22,2,2,2,3.33333333333333,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",89,22,"Female",2,"china","First year student",3,2,2,2,1,1,1,1,3,3,3,3,3,3,3,3,"SSM","Good boy-Bigbang","We like 2 party-Bigbang",0,0,0,0,0,0,0,0,4,4,4,2,4,2,2,4,4,3,3,3,2,13,24,0,4,2,3,3.25,"Low Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",90,18,"Male",1,"Australian","First year student",0,0,0,1,1,0,1,0,1,2,1,0,1,1,0,0,"SSM","One more time- Daft Punk","CHVRCHES- Leave a trace",1,0,0,0,1,0,0,0,4,5,5,5,5,2,4,4,2,2,3,1,2,3,6,2,4,4,4,4,"High Rumination","igkd1_first.song","5UTua0uyjaYb4nmXu97ArV","https://api.spotify.com/v1/users/1230989829/playlists/5UTua0uyjaYb4nmXu97ArV/tracks",38,"NDcsODYxMWU1NGUwYTljODc2YjYyNzllZmFjMTVlZWM3NDg2ODBiM2Y5Yg==","https://mosaic.scdn.co/640/1a9dab25976c706fffccb6bf2cf8a6f5eadd0d2959c620dda5c01ba1107d82f8a6875faa90e950da9745b65ee2b46e710332f22102ba5fc6756a16d69e1484c528939f05c09f062fd482d7d07a7bf263","One More Time","0DiWol3AO6WpXZgp0goxAV","Daft Punk","Discovery","https://i.scdn.co/image/1a9dab25976c706fffccb6bf2cf8a6f5eadd0d29",76,0.611,0.697,"D",-8.618,"major",0.133,0.0193,0,0.332,0.476,122.752,320357,4,"D major"
"91",91,20,"Female",1,"Australian","First year student",3,1,3,0,3,0,0,2,2,4,3,3,3,2,2,2,"SSM","Bullshit - Dune Rats",NA,3,3,3,2,2,3,2,2,4,5,5,5,4,1,5,5,1,1,4,5,2,12,21,20,5,5,5,4.75,"High Rumination","igkd1_first.song","5UTua0uyjaYb4nmXu97ArV","https://api.spotify.com/v1/users/1230989829/playlists/5UTua0uyjaYb4nmXu97ArV/tracks",38,"NDcsODYxMWU1NGUwYTljODc2YjYyNzllZmFjMTVlZWM3NDg2ODBiM2Y5Yg==","https://mosaic.scdn.co/640/1a9dab25976c706fffccb6bf2cf8a6f5eadd0d2959c620dda5c01ba1107d82f8a6875faa90e950da9745b65ee2b46e710332f22102ba5fc6756a16d69e1484c528939f05c09f062fd482d7d07a7bf263","Bullshit","2WaXXnaS6XsQqY5ANUoYoP","Dune Rats","The Kids Will Know It's Bullshit","https://i.scdn.co/image/9745b65ee2b46e710332f22102ba5fc6756a16d6",52,0.499,0.967,"B",-6.476,"major",0.105,9.19e-05,0,0.352,0.419,139.002,180581,4,"B major"
"92",92,21,"Female",1,"Australian","First year student",1,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,"SSM","Landslide - Fleetwood Mac","St Jude - Florence & The Machine",1,0,1,0,0,0,0,0,4,5,4,4,4,2,4,4,2,2,2,4,2,2,4,2,4,4,4,3.91666666666667,"High Rumination","igkd1_first.song","5UTua0uyjaYb4nmXu97ArV","https://api.spotify.com/v1/users/1230989829/playlists/5UTua0uyjaYb4nmXu97ArV/tracks",38,"NDcsODYxMWU1NGUwYTljODc2YjYyNzllZmFjMTVlZWM3NDg2ODBiM2Y5Yg==","https://mosaic.scdn.co/640/1a9dab25976c706fffccb6bf2cf8a6f5eadd0d2959c620dda5c01ba1107d82f8a6875faa90e950da9745b65ee2b46e710332f22102ba5fc6756a16d69e1484c528939f05c09f062fd482d7d07a7bf263","Landslide","5ihS6UUlyQAfmp48eSkxuQ","Fleetwood Mac","Fleetwood Mac","https://i.scdn.co/image/9e1484c528939f05c09f062fd482d7d07a7bf263",75,0.414,0.161,"G",-22.32,"minor",0.0318,0.883,0.000223,0.117,0.423,159.375,199493,4,"G minor"
"93",93,20,"Male",1,"Australian","First year student",1,1,0,0,0,0,1,0,1,2,2,1,1,0,1,0,"SSM","Lullaby - Cat Empire",NA,0,0,0,0,0,0,0,0,4,4,4,4,4,2,4,5,2,2,4,3,1,3,8,0,4,4,4,4,"High Rumination","igkd1_first.song","5UTua0uyjaYb4nmXu97ArV","https://api.spotify.com/v1/users/1230989829/playlists/5UTua0uyjaYb4nmXu97ArV/tracks",38,"NDcsODYxMWU1NGUwYTljODc2YjYyNzllZmFjMTVlZWM3NDg2ODBiM2Y5Yg==","https://mosaic.scdn.co/640/1a9dab25976c706fffccb6bf2cf8a6f5eadd0d2959c620dda5c01ba1107d82f8a6875faa90e950da9745b65ee2b46e710332f22102ba5fc6756a16d69e1484c528939f05c09f062fd482d7d07a7bf263","Lullaby","6269XFCao5asyvQlA2lY6o","The Cat Empire","Two Shoes","https://i.scdn.co/image/aa63972c77dd285f111e5d93a8ff5112624b299c",38,0.621,0.7,"C#",-8.196,"major",0.0445,0.0477,0.000248,0.611,0.558,105.897,335093,4,"C# major"
"94",94,21,"Female",1,"Australian","Community sample",0,0,0,0,0,0,0,0,2,3,1,1,1,0,1,0,"SSM","Stay Up Late - Talking Heads","Crocodiles - Echo and The Bunnymen",0,0,0,0,0,0,0,0,1,2,4,4,4,3,3,3,2,3,3,2,2,0,9,0,3,4,3,3,"Low Rumination","igkd1_first.song","5UTua0uyjaYb4nmXu97ArV","https://api.spotify.com/v1/users/1230989829/playlists/5UTua0uyjaYb4nmXu97ArV/tracks",38,"NDcsODYxMWU1NGUwYTljODc2YjYyNzllZmFjMTVlZWM3NDg2ODBiM2Y5Yg==","https://mosaic.scdn.co/640/1a9dab25976c706fffccb6bf2cf8a6f5eadd0d2959c620dda5c01ba1107d82f8a6875faa90e950da9745b65ee2b46e710332f22102ba5fc6756a16d69e1484c528939f05c09f062fd482d7d07a7bf263","Stay Up Late - 2005 Remastered Version","18yuOJ4LexZb3rcCHpesSY","Talking Heads","Little Creatures","https://i.scdn.co/image/77194c3d135039bc9f4a96c2463ac029d9ab9b1e",38,0.596,0.679,"B",-5.814,"minor",0.0506,0.00789,0.000453,0.0321,0.91,111.272,223960,4,"B minor"
"95",95,20,"Female",1,"Australian","Community sample",0,0,0,0,0,0,0,0,3,3,3,2,2,4,2,1,"SSM","Daydreaming- Radiohead","Decks Dark- Radiohead",2,2,3,0,1,1,0,0,4,4,4,4,4,2,4,4,4,1,4,3,4,0,20,9,4,2,5,3.83333333333333,"High Rumination","igkd1_first.song","5UTua0uyjaYb4nmXu97ArV","https://api.spotify.com/v1/users/1230989829/playlists/5UTua0uyjaYb4nmXu97ArV/tracks",38,"NDcsODYxMWU1NGUwYTljODc2YjYyNzllZmFjMTVlZWM3NDg2ODBiM2Y5Yg==","https://mosaic.scdn.co/640/1a9dab25976c706fffccb6bf2cf8a6f5eadd0d2959c620dda5c01ba1107d82f8a6875faa90e950da9745b65ee2b46e710332f22102ba5fc6756a16d69e1484c528939f05c09f062fd482d7d07a7bf263","Daydreaming","1uRxyAup7OYrlh2SHJb80N","Radiohead","A Moon Shaped Pool","https://i.scdn.co/image/0d1460c036897175f4631e8480ea4a2217bf5447",63,0.299,0.263,"A",-13.207,"minor",0.0323,0.968,0.857,0.126,0.113,137.848,384439,3,"A minor"
"96",96,21,"Male",1,"Australian","Community sample",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"SSM","Rebirth - Atlanta Awaits","Awake - Mutiny Within",0,0,0,0,0,0,0,0,3,3,3,4,4,2,4,4,3,4,3,2,1,0,0,0,4,3,2,3.25,"Low Rumination","igkd1_first.song","5UTua0uyjaYb4nmXu97ArV","https://api.spotify.com/v1/users/1230989829/playlists/5UTua0uyjaYb4nmXu97ArV/tracks",38,"NDcsODYxMWU1NGUwYTljODc2YjYyNzllZmFjMTVlZWM3NDg2ODBiM2Y5Yg==","https://mosaic.scdn.co/640/1a9dab25976c706fffccb6bf2cf8a6f5eadd0d2959c620dda5c01ba1107d82f8a6875faa90e950da9745b65ee2b46e710332f22102ba5fc6756a16d69e1484c528939f05c09f062fd482d7d07a7bf263","Rebirth","0CSdBxudJi32TN3ZEFkDWO","Atlantis Awaits","Dying to Live","https://i.scdn.co/image/08cfc4e33b9b1553e3141aa701aba26d524599e0",36,0.461,0.981,"G",-2.932,"minor",0.184,0.000544,4.21e-05,0.0524,0.435,164.95,223389,4,"G minor"
"97",97,21,"Male",1,"Australian","Community sample",3,3,1,1,4,0,2,0,3,3,2,2,3,0,1,0,"SSM","Nothing But The Blood - All Sons & Daughters","Little Do You Know - Alex & Sierra",2,1,0,0,2,0,0,0,4,4,5,5,5,2,5,4,2,3,3,5,4,14,14,5,4,4,3,4.25,"High Rumination",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",98,20,"Female",5,"Australian","First year student",0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,"SSM","Arsonists Lullaby- Hozier",NA,1,1,1,0,0,0,0,0,4,4,4,4,4,2,4,4,2,3,4,3,3,0,4,3,4,4,3,3.83333333333333,"High Rumination","igkd1_first.song","5UTua0uyjaYb4nmXu97ArV","https://api.spotify.com/v1/users/1230989829/playlists/5UTua0uyjaYb4nmXu97ArV/tracks",38,"NDcsODYxMWU1NGUwYTljODc2YjYyNzllZmFjMTVlZWM3NDg2ODBiM2Y5Yg==","https://mosaic.scdn.co/640/1a9dab25976c706fffccb6bf2cf8a6f5eadd0d2959c620dda5c01ba1107d82f8a6875faa90e950da9745b65ee2b46e710332f22102ba5fc6756a16d69e1484c528939f05c09f062fd482d7d07a7bf263","Arsonist's Lullabye","1UWhx0pFZccP4jdCIZsj7U","Hozier","From Eden EP","https://i.scdn.co/image/21e6054465794dce9b84ca43f2e750c3a5c51485",62,0.463,0.373,"F#",-10.666,"minor",0.0362,0.673,0.0745,0.118,0.184,64.831,266547,4,"F# minor"
"99",99,19,"Female",1,"USA","First year student",1,1,1,0,0,0,0,0,2,3,2,1,2,1,1,0,"SSM","Fast Car - Tracy Chapman","Fred Astaire - San Cisco",1,1,0,0,0,0,0,0,5,4,4,4,4,2,4,4,2,2,4,3,2,3,12,2,4,4,4,4,"High Rumination","igkd1_first.song","5UTua0uyjaYb4nmXu97ArV","https://api.spotify.com/v1/users/1230989829/playlists/5UTua0uyjaYb4nmXu97ArV/tracks",38,"NDcsODYxMWU1NGUwYTljODc2YjYyNzllZmFjMTVlZWM3NDg2ODBiM2Y5Yg==","https://mosaic.scdn.co/640/1a9dab25976c706fffccb6bf2cf8a6f5eadd0d2959c620dda5c01ba1107d82f8a6875faa90e950da9745b65ee2b46e710332f22102ba5fc6756a16d69e1484c528939f05c09f062fd482d7d07a7bf263","Fast Car","2M9ro2krNb7nr7HSprkEgo","Tracy Chapman","Tracy Chapman","https://i.scdn.co/image/5c69dfb7c6bd99518facb068fec7b92df2df10c8",78,0.711,0.292,"E",-15.523,"minor",0.037,0.313,0,0.131,0.194,103.951,296800,4,"E minor"
"100",100,19,"Female",2,"Australian","Community sample",0,0,0,0,1,0,0,0,2,2,1,1,0,0,1,0,"SSM","Butterfly - Jason Mraz","Kimi no Shiranai Monogatari (Piano ver.) - Supercell",0,0,0,0,0,0,0,0,4,4,4,4,4,2,4,4,2,2,5,3,2,1,7,0,4,4,4,4,"High Rumination","igkd1_first.song","5UTua0uyjaYb4nmXu97ArV","https://api.spotify.com/v1/users/1230989829/playlists/5UTua0uyjaYb4nmXu97ArV/tracks",38,"NDcsODYxMWU1NGUwYTljODc2YjYyNzllZmFjMTVlZWM3NDg2ODBiM2Y5Yg==","https://mosaic.scdn.co/640/1a9dab25976c706fffccb6bf2cf8a6f5eadd0d2959c620dda5c01ba1107d82f8a6875faa90e950da9745b65ee2b46e710332f22102ba5fc6756a16d69e1484c528939f05c09f062fd482d7d07a7bf263","Butterfly","7rrmHHc1kY9vkIZnXrcH7T","Jason Mraz","We Sing. We Dance. We Steal Things.","https://i.scdn.co/image/678a0b275dc2a108cf88ad43897ab9e0a2875931",54,0.718,0.658,"A#",-7.207,"minor",0.0665,0.147,0,0.183,0.806,108.105,299067,4,"A# minor"
"101",101,19,"Male",1,NA,"First year student",0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,"SSM","Say it - Flume",NA,0,0,0,0,0,0,0,0,3,2,2,2,2,4,2,3,3,3,2,2,2,0,4,0,2,3,3,2.33333333333333,"Low Rumination","igkd1_first.song","5UTua0uyjaYb4nmXu97ArV","https://api.spotify.com/v1/users/1230989829/playlists/5UTua0uyjaYb4nmXu97ArV/tracks",38,"NDcsODYxMWU1NGUwYTljODc2YjYyNzllZmFjMTVlZWM3NDg2ODBiM2Y5Yg==","https://mosaic.scdn.co/640/1a9dab25976c706fffccb6bf2cf8a6f5eadd0d2959c620dda5c01ba1107d82f8a6875faa90e950da9745b65ee2b46e710332f22102ba5fc6756a16d69e1484c528939f05c09f062fd482d7d07a7bf263","Say It","6vnDoUOHTiVB5DvX18tJon","Flume","Skin","https://i.scdn.co/image/114eba868b37cd906570e4590ece1505b4814927",60,0.597,0.531,"D#",-6.83,"minor",0.0295,0.0685,3.72e-06,0.0617,0.271,74.938,262521,4,"D# minor"
"102",102,21,"Female",2,"Singaporean","First year student",0,0,1,0,0,0,0,0,2,2,1,0,0,0,1,0,"SSM","No Promises-Shayne Ward",NA,1,1,2,0,0,0,0,0,2,4,3,5,3,3,4,4,4,4,3,1,4,1,6,4,3,2,2,3,"Low Rumination","igkd1_first.song","5UTua0uyjaYb4nmXu97ArV","https://api.spotify.com/v1/users/1230989829/playlists/5UTua0uyjaYb4nmXu97ArV/tracks",38,"NDcsODYxMWU1NGUwYTljODc2YjYyNzllZmFjMTVlZWM3NDg2ODBiM2Y5Yg==","https://mosaic.scdn.co/640/1a9dab25976c706fffccb6bf2cf8a6f5eadd0d2959c620dda5c01ba1107d82f8a6875faa90e950da9745b65ee2b46e710332f22102ba5fc6756a16d69e1484c528939f05c09f062fd482d7d07a7bf263","No Promises","1VDR5Pwkz1U8UobjZeg7IB","Shayne Ward","Shayne Ward","https://i.scdn.co/image/c932f1e853d7f2542e836879a00b811e65c05f8e",50,0.506,0.496,"E",-6.086,"major",0.0257,0.529,0,0.123,0.198,79.81,223067,4,"E major"
