id,Age,Gender,Sample,Condition,SelfSelected_Song1,SelfSelected_Song2,track_popularity,loudness,speechiness,acousticness,instrumentalness,liveness,valence,mode,energy,tempo,key,danceability,MusicInfo4_1,Rumination,Timepoint,Sadness
111,18,Female,First year student,SSM,Jellyfish - Ocean Alley,NA,46,-9.483,0.0294,0.893,0,0.0822,0.374,minor,0.315,97.95,D,0.579,2,3.75,Baseline,2
112,19,Male,First year student,SSM,The Buzz - Hermitude,Jimmy Recard - Drapht,57,-6.481,0.316,0.338,0.00502,0.288,0.46,minor,0.581,83.02,C,0.495,2,3,Baseline,0
113,21,Female,First year student,SSM,7 years - Lukas Graham,One Call Away - Charlie Puth,81,-5.829,0.0514,0.287,0,0.391,0.34,major,0.473,119.992,A#,0.765,3,3.6666666666666665,Baseline,15
114,18,Female,First year student,SSM,Great Are You Lord - Casting Crowns,Live You're Loved - Hawk Nelson,51,-6.869,0.0289,0.291,0,0.193,0.134,major,0.412,145.01,G#,0.411,3,3.75,Baseline,7
115,18,Male,First year student,SSM,The Fault in our Stars - Troye Sivan,Someday soon - the trouble with templeton,65,-21.424,0.109,0.613,2.84e-5,0.145,0.405,major,0.179,74.85,D#,0.481,5,4.083333333333333,Baseline,4
116,19,Female,First year student,SSM,Ain't Your Mama - Jennifer Lopez,NA,74,-5.529,0.233,0.0472,9.14e-6,0.0654,0.82,minor,0.678,120.075,G#,0.757,1,4.25,Baseline,0
117,18,Female,First year student,SSM,Where You're At - Allen Stone,NA,37,-6.612,0.0404,0.148,0,0.201,0.573,major,0.636,140.002,C,0.625,3,4.25,Baseline,0
118,20,Female,First year student,SSM,2am - Anna Nalick,Chasing Cars - Snow patrol,63,-7.715,0.0278,0.417,0,0.0881,0.287,major,0.452,169.837,D,0.386,4,3,Baseline,3
119,22,Female,Community sample,SSM,"Me at the Museum, and You in the Wintergarden - Tiny Ruins",Straw Into Gold - Tiny Ruins,28,-14.003,0.0326,0.916,0.0151,0.106,0.223,minor,0.251,89.999,G,0.365,4,4.25,Baseline,13
120,18,Female,First year student,SSM,I love you-Little Mix,Bed Rock-Young Money,51,-5.818,0.0312,0.0983,0,0.115,0.378,major,0.564,99.979,C,0.672,1,3,Baseline,0
121,18,Male,First year student,SSM,Chasing Cars - Snow Patrol,NA,75,-4.53,0.0274,0.199,6.47e-5,0.132,0.144,major,0.595,104.011,A,0.56,4,3.4166666666666665,Baseline,0
122,20,Male,Community sample,SSM,Breathing in Stereo - Modern Baseball,What if - Modern Baseball,19,-6.206,0.0907,4.87e-5,1.31e-6,0.178,0.705,major,0.769,109.133,D,0.268,3,4.583333333333333,Baseline,18
123,19,Female,First year student,SSM,En Cavale - Pomme,NA,33,-9.071,0.0347,0.677,0.00535,0.287,0.187,major,0.392,123.955,B,0.593,4,3.25,Baseline,2
124,21,Male,First year student,SSM,O Fortuna - Seiji Ozawa,Fortune Plango Vulnera - Seiji Ozawa,0,-19.307,0.0306,0.638,0.00509,0.169,0.404,minor,0.199,142.557,D,0.346,3,3,Baseline,2
125,20,Male,First year student,SSM,Madness - Muse,NA,71,-7.665,0.0718,0.127,0.00419,0.106,0.218,major,0.417,180.301,A#,0.502,3,3.3333333333333335,Baseline,0
126,19,Female,Community sample,SSM,Black Dress - Kisschasy,NA,28,-9.047,0.0325,0.837,2.13e-4,0.278,0.118,major,0.343,118.314,B,0.361,5,4,Baseline,0
127,20,Male,First year student,SSM,Holy Roller - Thao,Eventually - Tame Impala,33,-6.26,0.075,0.0759,1.06e-4,0.088,0.144,minor,0.59,83.386,C#,0.73,3,3.8333333333333335,Baseline,13
128,20,Female,Community sample,SSM,Holocene - Bon Iver,NA,70,-14.52,0.0302,0.943,0.303,0.126,0.147,major,0.304,147.989,C#,0.375,3,3.9166666666666665,Baseline,4
1,18,Male,First year student,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25,Post_induction,3
2,23,Female,Community sample,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.583333333333333,Post_induction,2
3,21,Female,Community sample,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,Post_induction,15
4,19,Female,First year student,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.25,Post_induction,22
5,18,Male,Community sample,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6666666666666665,Post_induction,6
6,20,Male,Community sample,Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8333333333333335,Post_induction,11
